aX,aY,aZ,gX,gY,gZ
-1.544,1.015,-0.188,26.306,89.233,-17.517
-1.620,1.000,-0.216,41.199,104.248,-14.771
-1.689,0.969,-0.243,56.152,120.667,-12.939
-1.708,0.931,-0.274,69.519,138.062,-12.756
-1.719,0.872,-0.305,79.407,155.212,-12.634
-1.753,0.807,-0.339,84.595,171.387,-11.230
-1.788,0.760,-0.350,85.327,186.462,-8.911
-1.761,0.746,-0.365,82.275,200.623,-6.287
-1.707,0.764,-0.361,77.637,212.891,-4.333
-1.617,0.793,-0.360,73.303,223.389,-3.540
-1.579,0.809,-0.358,70.313,232.361,-3.845
-1.570,0.811,-0.372,68.298,242.065,-5.432
-1.533,0.826,-0.380,66.345,253.357,-8.606
-1.458,0.826,-0.424,64.514,265.869,-10.803
-1.269,0.864,-0.481,62.134,276.550,-11.536
-1.028,0.927,-0.491,58.533,281.555,-12.573
-0.827,0.960,-0.483,54.626,280.029,-12.817
-0.636,0.957,-0.489,50.171,273.926,-9.094
-0.505,0.942,-0.470,45.044,263.062,-2.930
-0.426,0.913,-0.458,38.818,250.610,3.967
-0.374,0.859,-0.454,32.166,239.685,9.888
-0.340,0.795,-0.442,24.658,230.896,13.000
-0.290,0.726,-0.444,15.991,225.769,12.329
-0.186,0.709,-0.471,5.676,224.365,8.667
-0.076,0.766,-0.504,-3.662,224.854,4.333
-0.009,0.808,-0.523,-10.010,224.854,0.549
0.063,0.859,-0.499,-12.451,225.708,-1.831
0.134,0.878,-0.464,-10.254,226.990,-3.235
0.227,0.859,-0.440,-5.310,227.966,-2.747
0.334,0.822,-0.415,-0.061,226.624,1.648
0.407,0.741,-0.395,4.944,221.741,10.193
0.456,0.650,-0.373,6.836,214.783,17.761
0.487,0.559,-0.347,4.639,208.191,19.592
0.510,0.510,-0.316,-1.404,203.430,15.625
0.570,0.547,-0.263,-8.728,200.439,8.179
0.631,0.652,-0.197,-14.709,198.181,-0.916
0.699,0.761,-0.132,-16.418,195.618,-7.996
0.760,0.864,-0.070,-12.695,192.139,-11.658
0.815,0.904,-0.019,-4.211,186.218,-10.254
0.871,0.912,0.019,6.409,178.711,-4.883
0.927,0.884,0.073,17.456,169.189,0.244
0.964,0.831,0.129,26.672,158.447,3.052
0.998,0.796,0.186,32.593,147.461,2.991
1.022,0.796,0.242,35.767,136.292,1.709
1.044,0.793,0.291,37.537,125.732,0.793
1.047,0.775,0.332,37.842,115.601,2.319
1.059,0.743,0.374,36.377,106.384,6.409
1.083,0.713,0.417,32.532,97.839,11.414
1.122,0.671,0.456,26.428,89.111,16.418
1.147,0.643,0.490,17.822,79.590,20.386
1.167,0.646,0.522,7.874,68.787,22.949
1.170,0.668,0.548,-2.075,56.519,24.109
1.152,0.711,0.575,-10.132,44.312,25.330
1.142,0.754,0.591,-16.602,32.593,26.245
1.143,0.814,0.594,-20.142,21.851,28.198
1.129,0.843,0.604,-20.325,11.780,31.433
1.114,0.821,0.607,-18.066,2.319,34.912
