aX,aY,aZ,gX,gY,gZ
-1.154,1.478,0.007,-687.683,-8.850,-117.310
-1.273,1.588,-0.168,-709.412,-29.419,-89.905
-1.511,1.483,-0.469,-723.083,-44.800,-48.645
-1.618,1.337,-0.631,-716.431,-49.561,-8.850
-1.824,1.122,-0.949,-699.829,-50.537,25.391
-1.962,0.894,-1.315,-672.913,-45.654,51.880
-2.047,0.670,-1.661,-626.221,-34.851,73.486
-2.109,0.312,-2.104,-542.847,-15.259,94.543
-2.109,-0.066,-2.624,-422.974,17.151,104.614
-2.029,-0.087,-3.039,-283.569,66.956,100.220
-1.875,0.120,-3.245,-174.744,132.202,78.735
-1.709,0.542,-3.260,-116.211,198.364,50.171
-1.449,0.982,-3.080,-95.764,261.230,27.222
-1.267,1.260,-2.882,-99.243,317.810,21.790
-1.097,1.365,-2.600,-110.229,367.920,30.518
-0.955,1.324,-2.335,-121.460,402.832,47.485
-0.819,1.211,-2.116,-127.808,421.082,67.749
-0.726,1.033,-1.930,-121.033,427.490,90.088
-0.618,0.785,-1.794,-105.835,423.279,111.694
-0.516,0.545,-1.705,-92.529,410.278,123.047
-0.448,0.448,-1.692,-79.468,394.348,119.629
-0.250,0.429,-1.698,-64.331,380.310,113.953
-0.064,0.506,-1.615,-43.152,371.582,107.117
0.059,0.619,-1.498,-23.621,365.417,102.600
0.153,0.664,-1.336,-10.315,354.370,98.328
0.210,0.784,-1.155,-0.671,332.581,88.928
0.179,0.932,-1.007,7.568,301.636,79.712
0.145,0.971,-0.912,13.855,264.099,79.346
0.237,0.948,-0.833,18.188,222.168,79.712
0.408,0.921,-0.843,21.057,178.467,75.684
0.619,0.920,-0.854,25.574,139.771,68.176
0.891,0.909,-0.845,28.870,108.643,62.744
1.123,0.813,-0.860,26.611,81.665,57.251
1.296,0.714,-0.881,20.386,59.082,43.762
1.358,0.623,-0.904,16.235,40.161,22.217
1.335,0.578,-0.913,18.860,23.621,-0.122
1.272,0.640,-0.942,28.503,4.700,-19.287
1.251,0.680,-0.993,40.649,-13.672,-33.386
1.230,0.711,-1.042,48.645,-25.452,-42.542
1.184,0.785,-1.062,51.575,-27.405,-48.462
1.109,0.860,-1.077,50.415,-22.278,-47.791
0.999,0.811,-1.066,47.302,-15.747,-40.466
0.840,0.698,-0.999,43.579,-7.141,-38.452
0.602,0.622,-0.942,36.743,1.282,-48.462
0.360,0.546,-0.851,34.119,3.601,-67.017
0.133,0.461,-0.709,44.922,-2.380,-88.318
-0.025,0.423,-0.617,72.021,-16.296,-108.276
-0.132,0.440,-0.581,108.093,-35.339,-127.258
-0.213,0.522,-0.632,141.541,-55.481,-145.996
-0.260,0.595,-0.695,164.551,-73.120,-164.917
-0.289,0.656,-0.756,175.110,-86.792,-184.082
-0.301,0.748,-0.780,178.528,-94.666,-201.660
-0.336,0.865,-0.728,184.753,-94.788,-211.914
-0.467,0.945,-0.605,203.064,-87.524,-209.839
-0.611,0.969,-0.439,236.267,-79.102,-202.209
-0.704,0.984,-0.296,274.597,-76.355,-200.623
-0.735,0.975,-0.228,305.847,-78.064,-206.238
-0.764,0.996,-0.166,327.637,-78.857,-215.820
-0.803,1.045,-0.095,339.661,-78.003,-227.539
-0.881,1.062,-0.007,342.163,-78.308,-234.802
-0.933,1.129,0.093,336.670,-79.346,-239.624
-0.937,1.220,0.174,325.989,-82.581,-242.554
-0.932,1.373,0.208,315.918,-92.590,-242.126
-0.916,1.516,0.174,306.946,-104.736,-234.802
-0.830,1.627,0.176,301.880,-113.281,-217.285
-0.757,1.642,0.178,302.490,-111.633,-194.763
-0.753,1.585,0.174,311.218,-95.520,-170.593
-0.787,1.411,0.243,328.674,-69.702,-146.912
-0.817,1.193,0.320,349.976,-41.199,-128.906
-0.839,1.032,0.394,372.986,-16.235,-119.019
-0.841,0.936,0.533,400.513,4.089,-113.525
-0.844,0.985,0.693,428.284,18.555,-104.187
-0.826,1.112,0.890,446.167,25.024,-87.219
-0.847,1.143,1.029,444.885,23.499,-63.171
-0.911,1.030,1.047,421.448,13.428,-35.767
-0.950,0.872,0.982,386.963,4.272,-15.991
-0.954,0.698,0.901,346.252,2.502,-8.972
-0.976,0.526,0.848,303.955,5.310,-10.254
-0.975,0.383,0.794,267.395,8.362,-16.052
-0.951,0.297,0.756,242.371,9.521,-24.109
-0.913,0.270,0.723,232.239,10.498,-29.724
-0.871,0.292,0.671,234.131,12.817,-28.503
-0.808,0.328,0.609,235.901,16.846,-20.386
-0.802,0.359,0.615,229.370,24.597,-9.644
-0.800,0.363,0.665,213.257,31.738,0.793
-0.782,0.321,0.745,186.401,33.691,6.897
-0.749,0.276,0.834,153.748,31.189,5.920
-0.704,0.214,0.890,121.948,26.550,0.610
-0.682,0.170,0.897,95.276,20.752,-5.615
-0.647,0.159,0.888,80.811,13.916,-8.972
-0.599,0.161,0.890,80.261,9.216,-7.324
-0.552,0.149,0.882,89.111,7.935,-1.404
-0.505,0.150,0.871,102.112,8.972,7.629
-0.477,0.139,0.872,112.061,13.062,14.954
-0.475,0.125,0.906,111.694,18.250,17.517
-0.472,0.085,0.939,98.877,18.738,15.747
-0.429,0.033,0.991,78.918,13.245,8.362
-0.378,0.009,1.019,57.556,5.127,-2.563
-0.377,0.030,1.043,39.368,-1.953,-12.573
-0.377,0.066,1.048,29.724,-9.399,-18.738
-0.381,0.088,1.005,30.579,-17.456,-18.555
-0.315,0.091,0.969,40.161,-23.437,-13.916
-0.308,0.086,0.897,52.063,-25.269,-6.531
-0.316,0.080,0.844,62.134,-22.339,0.000
-0.306,0.066,0.809,66.284,-17.273,2.563
-0.310,0.051,0.786,60.608,-12.268,2.502
-0.323,0.042,0.785,48.157,-7.812,-0.488
-0.334,0.042,0.800,35.583,-4.028,-5.005
-0.350,0.040,0.832,23.376,-1.160,-10.437
-0.353,0.040,0.864,12.207,-0.610,-16.174
-0.346,0.044,0.890,5.554,-1.770,-21.240
-0.341,0.066,0.909,3.479,-2.869,-24.353
-0.320,0.090,0.941,5.188,-2.197,-24.719
-0.327,0.093,0.960,6.287,-0.427,-20.569
-0.337,0.080,0.967,5.676,1.160,-13.916
-0.339,0.056,0.970,7.019,1.953,-7.874
-0.323,0.016,0.972,10.437,3.723,-4.517
-0.320,-0.029,0.984,12.024,5.798,-4.517
-0.307,-0.064,0.992,9.827,5.127,-7.935

-1.150,1.282,0.552,-320.740,38.635,-65.430
-1.247,1.424,0.463,-336.182,20.447,-44.617
-1.380,1.518,0.287,-347.717,7.446,-25.024
-1.467,1.600,0.094,-348.816,2.625,-6.409
-1.503,1.737,-0.062,-331.787,7.568,15.442
-1.558,2.081,-0.319,-289.856,24.292,48.828
-1.685,2.359,-0.396,-236.450,54.871,102.417
-1.743,2.566,-0.224,-208.008,84.106,155.884
-1.870,2.605,0.011,-217.407,99.365,193.542
-1.925,2.613,0.220,-267.273,92.957,207.458
-1.934,2.545,0.259,-337.891,69.275,203.674
-1.805,2.413,0.119,-394.043,45.837,194.214
-1.619,2.373,-0.112,-415.771,32.166,186.462
-1.356,2.604,-0.357,-410.706,30.884,187.073
-1.124,2.814,-0.584,-396.912,43.945,200.012
-0.943,2.852,-0.713,-395.203,67.932,215.881
-0.687,2.861,-0.676,-401.611,97.839,221.863
-0.574,2.833,-0.678,-407.410,124.207,227.112
-0.457,2.827,-0.645,-404.846,146.851,238.708
-0.344,2.719,-0.657,-394.836,159.058,250.549
-0.308,2.537,-0.563,-390.015,160.339,258.789
-0.133,2.446,-0.709,-415.100,139.404,250.305
0.022,2.126,-1.085,-413.757,138.306,233.093
0.170,1.874,-1.219,-364.014,152.893,239.868
0.243,1.685,-1.303,-298.401,182.190,235.229
0.365,1.746,-1.212,-243.103,209.351,223.145
0.476,1.938,-1.051,-206.238,229.858,213.623
0.530,1.902,-0.885,-190.796,239.319,222.778
0.488,1.586,-0.716,-188.477,236.023,240.173
0.414,1.251,-0.630,-184.998,222.595,243.530
0.424,1.068,-0.575,-171.692,199.524,231.079
0.467,0.983,-0.555,-143.494,172.119,217.346
0.581,1.021,-0.561,-107.727,147.949,209.229
0.692,0.953,-0.609,-83.862,128.784,204.956
0.765,0.811,-0.603,-80.444,116.943,196.350
0.829,0.641,-0.572,-86.792,111.633,175.598
0.852,0.410,-0.534,-91.064,108.643,151.611
0.883,0.273,-0.381,-87.280,106.750,128.235
0.873,0.194,-0.231,-76.599,99.548,107.605
0.943,0.133,-0.143,-62.683,85.876,95.032
0.545,0.070,-0.182,-45.227,78.491,86.182
0.719,0.005,-0.234,-32.776,87.646,86.365
0.623,-0.051,-0.181,-17.944,87.524,75.562
0.582,-0.090,-0.143,-5.066,80.017,53.528
0.511,-0.080,-0.071,2.380,70.679,30.518
0.455,-0.074,-0.019,10.193,61.157,9.949
0.383,-0.090,0.030,19.165,51.392,-6.165
0.296,-0.123,0.069,29.297,41.382,-22.278
0.197,-0.160,0.071,39.368,31.677,-41.199
0.158,-0.108,0.049,49.255,21.362,-64.636
0.141,0.047,-0.019,53.833,10.193,-86.487
0.109,0.170,-0.108,52.307,-0.427,-100.037
0.083,0.226,-0.165,45.898,-8.911,-107.483
0.051,0.260,-0.196,41.016,-17.151,-115.356
0.020,0.257,-0.228,39.856,-27.893,-124.573
-0.033,0.235,-0.236,44.495,-37.659,-135.315
-0.075,0.205,-0.246,56.396,-46.936,-148.926
-0.105,0.175,-0.280,75.562,-56.946,-167.175
-0.112,0.259,-0.313,100.159,-66.162,-191.650
-0.090,0.506,-0.399,128.906,-74.219,-216.064
-0.100,0.767,-0.509,156.921,-77.698,-229.553
-0.122,0.968,-0.584,181.458,-74.219,-228.088
-0.154,1.068,-0.624,199.463,-66.040,-219.177
-0.208,1.082,-0.584,207.947,-55.664,-210.510
-0.292,1.036,-0.501,209.595,-48.157,-205.933
-0.357,0.931,-0.439,212.830,-46.936,-208.191
-0.383,0.808,-0.357,226.746,-51.208,-221.069
-0.347,0.761,-0.279,258.423,-52.795,-246.643
-0.268,0.847,-0.142,314.209,-42.847,-276.672
-0.231,1.125,0.067,387.573,-21.973,-298.645
-0.178,1.587,0.281,460.571,2.197,-301.819
-0.354,2.021,0.463,507.812,22.583,-276.733
-0.481,2.295,0.595,523.010,31.860,-236.023
-0.582,2.271,0.562,500.610,26.123,-197.021
-0.619,2.030,0.531,446.594,15.747,-176.147
-0.622,1.782,0.544,387.329,12.817,-179.382
-0.639,1.564,0.616,341.125,19.775,-196.045
-0.642,1.458,0.765,317.749,31.799,-212.219
-0.688,1.426,0.961,323.486,49.316,-214.905
-0.778,1.412,1.211,352.051,69.214,-196.655
-0.853,1.427,1.400,386.169,79.468,-162.354
-0.912,1.410,1.548,412.781,77.087,-122.559
-0.923,1.427,1.528,411.438,65.979,-84.167
-0.928,1.433,1.436,387.207,52.856,-57.495
-0.937,1.340,1.290,350.525,43.213,-38.696
-0.952,1.181,1.166,309.204,41.626,-24.963
-0.973,1.002,1.099,272.339,47.485,-20.020
-1.012,0.784,1.062,242.615,56.030,-21.484
-1.016,0.603,1.054,219.360,59.265,-28.870
-0.996,0.469,1.041,205.627,58.105,-38.574
-0.955,0.409,1.012,202.576,56.946,-48.401
-0.912,0.395,0.948,202.026,54.871,-54.810
-0.884,0.425,0.897,197.388,51.147,-56.519
-0.833,0.473,0.881,188.110,49.072,-52.673
-0.866,0.482,0.920,169.617,47.546,-43.518
-0.880,0.428,0.888,140.198,43.213,-31.921
-0.874,0.311,0.852,111.084,37.537,-23.010
-0.857,0.151,0.811,86.182,33.630,-17.151
-0.861,0.002,0.774,71.167,32.715,-16.907
-0.832,-0.099,0.773,69.458,32.776,-21.667
-0.791,-0.159,0.766,79.590,33.325,-28.625
-0.755,-0.159,0.757,95.703,35.461,-35.522
-0.739,-0.116,0.816,111.145,38.391,-42.419
-0.738,-0.039,0.910,117.676,37.598,-47.913
-0.732,0.027,0.965,108.765,28.687,-51.086
-0.719,0.078,0.945,85.327,13.306,-52.307
-0.684,0.082,0.873,54.016,-2.380,-52.795
-0.631,0.072,0.821,26.001,-14.160,-53.589
-0.572,0.056,0.779,9.155,-20.691,-54.138
-0.528,0.051,0.750,3.784,-21.240,-52.551
-0.488,0.047,0.743,9.216,-18.066,-48.462
-0.464,0.045,0.755,23.254,-12.268,-41.748
-0.454,0.024,0.778,40.894,-5.737,-34.302
-0.454,-0.002,0.827,56.396,-2.747,-28.687
-0.427,-0.016,0.903,65.796,-5.493,-26.672
-0.414,-0.024,0.939,66.467,-12.634,-27.832
-0.386,-0.015,0.945,56.030,-23.254,-32.288
-0.354,-0.002,0.901,37.720,-33.875,-39.856
-0.334,0.052,0.849,15.564,-39.246,-48.462

-1.272,1.237,0.491,-443.115,12.939,-92.163
-1.308,1.397,0.396,-438.293,4.883,-69.702
-1.354,1.483,0.298,-426.331,4.944,-39.856
-1.449,1.502,0.248,-410.889,12.573,-10.803
-1.560,1.559,0.250,-389.221,22.888,14.526
-1.661,1.632,0.266,-363.037,28.442,41.321
-1.730,1.692,0.230,-335.022,25.269,68.787
-1.711,1.792,0.128,-309.326,17.395,93.201
-1.601,1.955,-0.052,-291.199,13.000,114.624
-1.520,2.065,-0.159,-282.349,19.043,135.864
-1.406,2.270,-0.220,-276.733,31.250,154.358
-1.254,2.477,-0.245,-280.396,47.241,172.424
-1.117,2.524,-0.246,-294.189,62.134,195.557
-1.050,2.352,-0.250,-303.955,74.890,225.952
-0.971,2.121,-0.335,-299.377,84.351,245.667
-0.896,2.006,-0.372,-281.067,89.539,249.939
-0.756,2.149,-0.450,-263.794,93.750,250.061
-0.630,2.142,-0.563,-266.113,95.764,254.944
-0.536,1.929,-0.630,-276.917,98.816,258.911
-0.392,1.716,-0.704,-288.086,105.896,253.174
-0.283,1.434,-0.745,-293.091,115.479,242.920
-0.234,1.179,-0.746,-278.748,127.319,231.689
-0.169,1.081,-0.681,-244.263,139.343,221.741
-0.112,0.993,-0.617,-205.322,147.461,215.027
-0.108,0.923,-0.451,-167.542,149.841,211.304
-0.103,0.859,-0.390,-134.949,139.832,204.224
-0.039,0.827,-0.372,-113.464,116.577,189.026
0.065,1.030,-0.353,-102.234,89.966,167.969
0.235,1.285,-0.524,-111.389,59.937,146.912
0.442,1.318,-0.717,-139.099,31.738,130.432
0.604,1.281,-0.845,-158.020,20.935,115.601
0.744,1.278,-0.907,-150.330,28.931,107.300
0.852,1.213,-0.800,-117.249,45.532,109.070
0.840,1.069,-0.630,-67.993,60.669,122.437
0.804,0.907,-0.487,-20.691,67.627,134.338
0.786,0.754,-0.353,9.705,62.317,132.324
0.732,0.755,-0.193,18.372,48.401,117.981
0.726,0.880,-0.198,-0.244,26.001,99.121
0.733,0.757,-0.281,-41.382,-1.892,83.557
0.714,0.549,-0.375,-79.651,-18.921,67.627
0.690,0.428,-0.446,-92.407,-20.813,50.171
0.676,0.422,-0.544,-80.261,-13.062,37.292
0.665,0.426,-0.558,-61.523,2.197,29.907
0.567,0.389,-0.448,-44.617,22.095,26.123
0.430,0.330,-0.314,-27.222,36.499,23.621
0.313,0.271,-0.200,-9.766,38.696,19.592
0.217,0.224,-0.162,2.747,30.212,12.268
0.148,0.211,-0.179,6.165,14.771,-0.610
0.115,0.257,-0.234,0.427,0.000,-16.235
0.083,0.286,-0.324,-11.108,-11.719,-30.273
0.058,0.284,-0.431,-20.691,-19.775,-42.175
0.045,0.255,-0.525,-23.132,-22.339,-53.650
-0.001,0.214,-0.557,-18.005,-18.311,-63.660
-0.078,0.145,-0.548,-5.676,-11.047,-73.608
-0.176,0.042,-0.492,11.475,-6.592,-85.815
-0.287,-0.081,-0.414,37.109,-6.042,-100.159
-0.377,-0.136,-0.365,74.585,-11.475,-116.211
-0.396,-0.072,-0.372,121.338,-21.729,-135.071
-0.320,0.218,-0.440,167.358,-30.090,-153.137
-0.297,0.497,-0.519,197.693,-31.616,-161.804
-0.322,0.714,-0.556,212.769,-23.804,-159.058
-0.401,0.808,-0.601,219.727,-12.329,-156.128
-0.471,0.806,-0.572,220.215,-4.456,-159.607
-0.535,0.773,-0.535,221.130,-0.732,-170.471
-0.583,0.681,-0.467,231.628,0.183,-188.049
-0.604,0.600,-0.343,256.653,0.732,-207.275
-0.578,0.591,-0.201,300.476,4.333,-227.722
-0.547,0.690,0.005,355.652,10.193,-248.962
-0.515,0.887,0.236,418.518,14.771,-264.709
-0.442,1.155,0.433,488.831,21.484,-267.517
-0.414,1.436,0.581,553.589,33.813,-253.296
-0.398,1.679,0.723,605.103,51.819,-220.947
-0.432,1.790,0.798,631.409,73.242,-175.781
-0.480,1.761,0.841,629.272,92.163,-131.897
-0.513,1.646,0.937,608.093,106.812,-101.013
-0.594,1.500,1.009,577.454,117.493,-83.801
-0.640,1.375,1.127,539.185,121.216,-77.393
-0.670,1.267,1.231,497.009,118.469,-79.102
-0.684,1.159,1.302,452.942,112.610,-77.637
-0.700,0.999,1.329,410.034,109.924,-66.650
-0.715,0.827,1.326,371.521,110.535,-52.124
-0.720,0.677,1.303,336.670,109.985,-40.833
-0.707,0.588,1.271,302.307,107.178,-32.959
-0.694,0.536,1.245,267.212,104.492,-27.344
-0.708,0.522,1.287,234.070,101.013,-24.414
-0.709,0.471,1.277,201.599,91.675,-20.996
-0.699,0.411,1.229,169.739,79.468,-19.226
-0.682,0.333,1.161,143.799,69.702,-20.020
-0.661,0.258,1.116,127.747,64.453,-22.766
-0.640,0.211,1.075,121.216,62.134,-26.245
-0.634,0.184,1.038,120.850,61.279,-28.381
-0.636,0.185,1.006,122.742,61.035,-29.175
-0.638,0.173,0.970,122.742,59.998,-28.931
-0.607,0.169,0.947,115.845,57.800,-28.809
-0.592,0.177,0.943,101.868,56.030,-29.358
-0.597,0.198,0.953,82.336,53.955,-30.823
-0.605,0.189,0.961,58.105,48.279,-31.921
-0.601,0.166,0.945,35.339,39.795,-32.410
-0.575,0.132,0.912,20.203,32.898,-32.227
-0.561,0.110,0.896,16.602,30.518,-29.907
-0.542,0.084,0.895,23.804,33.142,-25.452
-0.533,0.061,0.889,36.011,37.292,-20.752
-0.512,0.048,0.901,48.950,40.771,-17.151
-0.489,0.036,0.938,58.594,41.443,-15.930
-0.462,0.027,0.989,61.340,37.720,-16.907
-0.427,0.008,1.010,57.556,30.151,-20.081
-0.386,-0.004,0.988,48.096,19.958,-26.367
-0.354,0.005,0.941,36.743,12.207,-34.241
-0.328,0.043,0.927,26.367,10.559,-41.260
-0.323,0.086,0.937,17.822,13.367,-45.837
-0.318,0.118,0.945,10.864,16.113,-45.654
-0.307,0.134,0.968,6.470,17.151,-41.992
-0.299,0.132,0.998,5.676,16.174,-36.865
-0.295,0.125,1.044,8.423,12.207,-30.457
-0.285,0.098,1.072,13.367,5.981,-24.170
-0.261,0.036,1.056,16.663,-0.854,-18.921
-0.229,-0.018,1.039,18.677,-5.554,-17.456
-0.205,-0.057,1.002,20.264,-6.653,-20.996
-0.196,-0.060,0.965,18.677,-6.287,-27.161

