aX,aY,aZ,gX,gY,gZ
-2.347,0.245,0.499,31.250,62.073,162.659
-2.841,0.499,0.537,32.593,72.632,179.871
-3.073,0.804,0.663,36.621,79.407,204.590
-3.454,1.034,0.892,43.762,81.055,236.267
-3.502,1.223,1.144,63.354,79.956,270.691
-3.583,1.360,1.373,102.234,72.205,313.049
-3.517,1.423,1.517,143.921,49.561,356.628
-3.284,1.385,1.504,174.988,8.179,397.278
-2.964,1.279,1.344,189.087,-40.833,428.833
-2.544,1.264,1.067,186.462,-91.309,443.726
-2.146,1.313,0.799,175.903,-132.874,448.792
-1.679,1.359,0.537,170.471,-164.429,455.444
-1.203,1.446,0.440,187.866,-181.396,467.651
-0.905,1.462,0.550,230.164,-171.875,485.229
-0.657,1.324,0.691,273.926,-154.297,502.014
-0.389,1.034,0.808,297.058,-147.766,507.568
-0.001,0.742,0.882,296.021,-146.362,495.972
0.487,0.546,0.895,279.175,-148.437,469.971
0.976,0.341,0.914,243.469,-154.846,445.007
1.626,0.192,0.928,204.590,-160.156,428.833
2.033,0.195,1.158,202.026,-135.071,420.715
2.263,0.163,1.533,230.896,-73.975,422.485
2.509,0.020,1.905,249.573,-14.709,413.940
2.688,-0.039,2.289,233.154,40.771,371.399
2.782,0.017,2.676,183.777,87.219,291.443
2.710,0.117,2.920,124.207,104.919,191.101
2.607,0.321,2.946,78.918,78.674,93.079
2.572,0.701,2.759,62.866,13.000,12.329
2.628,1.010,2.336,61.340,-62.927,-34.058
2.677,1.101,1.764,48.096,-123.169,-55.847
2.655,1.052,1.147,9.644,-158.997,-69.885
2.617,0.898,0.594,-43.762,-174.988,-80.322
2.530,0.691,0.185,-86.853,-169.434,-87.219
2.347,0.520,-0.008,-104.370,-141.357,-90.820
2.104,0.399,-0.013,-94.177,-103.333,-87.830
1.829,0.279,0.074,-62.561,-70.374,-79.712
1.544,0.202,0.246,-30.396,-45.288,-76.050
1.263,0.105,0.403,-16.663,-30.090,-81.360
1.052,-0.029,0.455,-28.992,-26.550,-94.604
0.890,-0.151,0.401,-59.204,-26.672,-115.417
0.764,-0.262,0.279,-95.276,-21.362,-137.085
0.651,-0.352,0.200,-126.709,-7.263,-155.640
0.509,-0.369,0.160,-146.240,15.869,-170.227
0.404,-0.361,0.171,-156.250,39.307,-178.223
0.167,-0.335,0.304,-160.706,61.401,-185.059
0.015,-0.370,0.414,-165.405,80.444,-191.345
-0.106,-0.366,0.565,-172.119,91.370,-205.383
-0.214,-0.347,0.759,-177.368,99.792,-226.807
