aX,aY,aZ,gX,gY,gZ
-1.594,1.148,-0.086,59.387,91.553,8.850
-1.738,1.196,-0.089,70.251,109.619,15.259
-1.849,1.251,-0.111,81.665,129.272,22.278
-1.937,1.315,-0.133,92.957,149.597,29.419
-2.025,1.381,-0.120,102.905,169.922,37.415
-2.072,1.468,-0.101,110.962,192.139,47.302
-2.087,1.549,-0.090,117.737,214.539,59.265
-2.113,1.610,-0.081,123.840,234.741,73.242
-2.156,1.640,-0.079,129.578,251.831,87.769
-2.137,1.684,-0.065,133.911,268.066,101.074
-2.008,1.796,-0.042,137.573,282.654,113.770
-1.846,1.933,0.004,143.250,294.800,126.221
-1.661,2.040,0.023,153.625,304.565,141.052
-1.479,2.127,0.024,169.495,311.157,159.668
-1.298,2.170,0.009,190.552,313.965,179.321
-1.106,2.192,-0.015,215.515,315.430,197.327
-0.884,2.129,-0.040,241.882,315.796,212.402
-0.581,1.993,-0.099,265.991,313.782,227.051
-0.303,1.819,-0.127,285.583,306.702,242.676
-0.070,1.584,-0.142,297.180,293.884,258.301
0.090,1.320,-0.167,299.683,277.344,270.142
0.220,1.038,-0.180,292.725,260.315,274.841
0.323,0.796,-0.171,277.710,243.469,272.949
0.405,0.589,-0.140,255.798,226.624,266.357
0.507,0.452,-0.115,229.736,210.815,256.714
0.637,0.404,-0.094,201.233,196.777,244.873
0.782,0.416,-0.081,174.866,183.533,230.469
0.980,0.476,-0.076,153.992,169.678,216.248
1.097,0.536,-0.080,141.174,154.236,205.078
1.157,0.523,-0.089,136.719,139.587,194.031
1.218,0.438,-0.118,137.817,128.845,181.274
1.284,0.306,-0.136,141.785,121.460,167.725
1.391,0.173,-0.150,145.142,113.464,152.222
1.472,0.018,-0.132,145.691,101.257,133.789
1.490,-0.122,-0.101,141.174,85.876,114.685
1.473,-0.244,-0.076,130.005,69.092,95.459
1.428,-0.334,-0.023,112.549,53.223,77.942
1.387,-0.372,0.038,89.050,40.344,63.416
1.327,-0.364,0.104,62.927,29.236,51.819
1.225,-0.334,0.180,37.292,19.043,41.931
1.109,-0.302,0.251,14.404,10.010,32.410
1.003,-0.243,0.343,-3.723,2.869,22.583
0.923,-0.159,0.442,-17.090,-1.404,12.390
0.863,-0.076,0.538,-25.391,-3.784,3.235
0.806,-0.006,0.632,-28.198,-5.371,-2.014
0.771,0.033,0.723,-26.001,-7.080,-3.967
0.731,0.038,0.795,-19.958,-9.094,-5.493
0.695,0.015,0.859,-12.024,-11.780,-8.301
0.655,-0.002,0.919,-4.578,-15.259,-12.756
0.634,-0.034,0.944,1.221,-18.860,-18.005
0.614,-0.077,0.958,4.333,-22.522,-22.705
0.610,-0.119,0.958,3.601,-26.367,-27.649
0.620,-0.146,0.957,-1.831,-30.029,-32.959
0.609,-0.165,0.952,-11.597,-33.936,-38.086
0.598,-0.159,0.922,-24.841,-37.476,-42.603
0.573,-0.121,0.896,-39.185,-41.321,-47.485
0.555,-0.059,0.877,-52.795,-44.983,-53.040
0.535,0.030,0.857,-63.904,-48.279,-58.044
0.525,0.124,0.851,-71.228,-51.331,-61.829
0.531,0.208,0.850,-74.097,-54.626,-64.636
0.543,0.286,0.857,-72.876,-58.289,-67.566
0.533,0.349,0.867,-68.237,-62.744,-70.618
0.514,0.355,0.876,-60.730,-67.322,-73.364
0.476,0.301,0.861,-52.856,-72.510,-75.500
0.402,0.229,0.846,-47.607,-78.003,-77.026
0.331,0.172,0.831,-45.837,-82.581,-77.759
0.273,0.121,0.807,-46.814,-86.060,-78.003
0.227,0.084,0.780,-49.927,-89.233,-79.712
0.197,0.064,0.763,-53.589,-93.201,-83.679
0.187,0.056,0.746,-57.434,-98.389,-89.783
0.176,0.064,0.743,-61.829,-104.858,-97.473
0.154,0.067,0.739,-67.322,-112.183,-105.103
0.129,0.079,0.729,-74.280,-120.361,-111.267
0.116,0.113,0.692,-82.214,-129.150,-115.845
0.036,0.159,0.673,-90.515,-138.428,-119.629
-0.049,0.198,0.629,-98.083,-146.423,-121.765
-0.128,0.245,0.578,-104.187,-152.100,-122.009
-0.198,0.298,0.538,-107.971,-156.067,-121.216
-0.265,0.359,0.530,-109.009,-157.837,-120.605
-0.284,0.406,0.523,-107.300,-157.532,-121.216
-0.284,0.454,0.518,-103.821,-156.982,-122.620
-0.312,0.514,0.532,-99.609,-157.837,-123.901
-0.342,0.565,0.530,-94.971,-159.790,-124.207
-0.383,0.586,0.503,-90.698,-162.170,-122.437
-0.451,0.577,0.462,-87.402,-164.307,-116.577
-0.535,0.571,0.431,-85.388,-164.978,-109.070
-0.590,0.563,0.407,-84.167,-162.842,-103.699
-0.595,0.561,0.389,-82.825,-158.203,-101.746
-0.589,0.582,0.399,-81.055,-153.320,-101.990
-0.593,0.604,0.452,-78.430,-149.414,-102.966
-0.612,0.624,0.507,-74.951,-146.667,-103.210
-0.660,0.630,0.542,-70.679,-144.653,-102.905
-0.684,0.604,0.537,-65.979,-143.250,-102.234
-0.707,0.570,0.523,-62.317,-143.372,-101.135
-0.724,0.534,0.492,-60.791,-144.348,-100.037
-0.741,0.503,0.436,-61.646,-145.813,-98.633
-0.762,0.485,0.374,-64.697,-147.278,-97.778
-0.775,0.468,0.319,-70.068,-147.583,-98.511
-0.778,0.496,0.278,-77.209,-146.851,-100.220
-0.816,0.569,0.276,-83.801,-144.531,-102.417
-0.820,0.653,0.277,-88.684,-139.038,-103.577
-0.781,0.737,0.271,-90.027,-132.690,-102.844
-0.755,0.811,0.282,-87.769,-128.174,-100.525
-0.731,0.860,0.290,-82.275,-125.732,-96.619
-0.720,0.863,0.274,-74.463,-125.183,-91.614
-0.727,0.847,0.259,-65.613,-125.977,-86.609
-0.723,0.802,0.228,-57.617,-127.380,-82.886
-0.733,0.747,0.187,-51.880,-129.150,-80.444
-0.764,0.700,0.167,-49.500,-130.554,-79.834
-0.828,0.679,0.166,-50.598,-129.822,-80.872
-0.862,0.692,0.157,-53.894,-124.878,-82.581
-0.864,0.726,0.117,-57.373,-116.699,-84.473
-0.829,0.781,0.093,-59.509,-107.971,-84.595
-0.805,0.817,0.090,-59.204,-101.929,-84.106
-0.807,0.846,0.085,-58.228,-98.816,-82.214
-0.814,0.850,0.074,-56.091,-95.886,-80.383
-0.817,0.856,0.058,-53.589,-93.079,-78.552
-0.809,0.858,0.047,-51.331,-89.844,-77.332
-0.790,0.860,0.046,-49.316,-86.853,-76.111

-1.368,1.229,-0.102,30.823,72.449,-4.028
-1.487,1.319,-0.111,34.180,80.566,0.061
-1.599,1.425,-0.127,38.879,90.149,3.967
-1.705,1.564,-0.146,45.593,102.051,9.277
-1.779,1.694,-0.167,55.176,116.577,16.846
-1.803,1.820,-0.193,67.383,132.385,26.367
-1.814,1.918,-0.228,80.261,147.644,36.682
-1.841,1.964,-0.245,93.506,161.255,48.584
-1.859,1.982,-0.284,104.980,173.584,63.110
-1.906,1.994,-0.298,113.892,184.631,79.102
-1.925,2.019,-0.312,119.934,195.068,94.849
-1.903,2.068,-0.296,124.268,205.078,109.863
-1.839,2.111,-0.286,128.784,216.187,124.573
-1.740,2.127,-0.281,134.583,229.614,140.442
-1.615,2.136,-0.298,142.578,244.141,158.447
-1.479,2.107,-0.342,153.015,257.629,177.368
-1.299,2.051,-0.384,165.894,267.761,195.251
-1.094,1.999,-0.414,181.030,272.034,209.778
-0.881,1.917,-0.474,197.327,270.264,221.497
-0.721,1.795,-0.521,212.463,264.465,232.056
-0.584,1.662,-0.546,224.182,258.484,242.187
-0.431,1.507,-0.581,231.689,256.104,251.099
-0.273,1.338,-0.611,235.352,255.859,257.935
-0.091,1.180,-0.620,234.619,254.395,261.841
0.066,1.029,-0.604,230.896,250.366,261.841
0.194,0.889,-0.575,224.487,244.446,256.836
0.318,0.767,-0.536,216.125,236.694,248.901
0.435,0.707,-0.495,205.383,228.333,240.845
0.544,0.720,-0.445,194.153,220.398,232.971
0.622,0.746,-0.381,184.082,212.280,225.159
0.734,0.817,-0.365,177.002,204.895,218.079
0.842,0.849,-0.367,175.415,196.716,210.999
0.920,0.821,-0.357,178.162,187.683,202.576
0.978,0.730,-0.359,182.678,179.199,193.787
1.018,0.582,-0.341,184.937,172.852,185.730
1.059,0.438,-0.319,181.946,168.274,177.490
1.093,0.296,-0.268,173.645,164.917,169.006
1.153,0.190,-0.189,161.926,161.499,159.241
1.227,0.107,-0.113,149.109,156.250,147.766
1.319,-0.002,-0.025,136.169,148.499,135.376
1.393,-0.112,0.064,122.864,138.733,122.864
1.479,-0.233,0.127,107.727,127.930,110.718
1.491,-0.307,0.212,89.478,115.479,99.670
1.500,-0.382,0.257,69.763,102.417,89.050
1.453,-0.439,0.325,49.500,89.111,79.163
1.383,-0.482,0.376,30.396,76.721,68.542
1.311,-0.500,0.424,12.512,65.125,56.396
1.269,-0.506,0.482,-3.662,54.321,43.457
1.250,-0.473,0.556,-18.311,44.678,31.860
1.267,-0.402,0.640,-30.701,36.011,21.545
1.280,-0.316,0.739,-38.757,27.222,11.719
1.276,-0.247,0.833,-42.236,17.883,2.808
1.235,-0.240,0.898,-41.931,8.301,-3.479
1.183,-0.264,0.942,-40.466,-0.793,-7.812
1.146,-0.288,0.968,-39.551,-9.521,-13.550
1.107,-0.303,0.980,-40.100,-18.311,-21.240
1.075,-0.295,0.985,-41.931,-26.855,-30.151
1.055,-0.277,0.976,-44.617,-34.973,-39.063
1.047,-0.263,0.958,-48.523,-43.823,-47.913
1.041,-0.238,0.937,-53.589,-54.626,-57.678
1.015,-0.183,0.915,-60.242,-66.772,-68.237
0.954,-0.126,0.896,-68.787,-78.308,-78.308
0.876,-0.055,0.875,-77.881,-86.914,-85.510
