aX,aY,aZ,gX,gY,gZ
-1.672,0.723,0.258,60.608,37.781,12.451
-1.800,0.724,0.229,78.369,44.983,20.020
-1.959,0.680,0.178,98.083,51.636,30.029
-2.085,0.603,0.126,118.347,57.373,40.833
-2.194,0.533,0.078,137.695,63.049,51.331
-2.321,0.472,0.050,156.067,69.519,60.608
-2.490,0.430,-0.019,174.805,77.698,67.993
-2.703,0.415,-0.104,194.397,85.876,74.158
-2.739,0.387,-0.112,215.576,95.337,77.148
-2.619,0.362,-0.053,237.732,106.445,79.651
-2.436,0.253,-0.056,257.751,118.958,85.999
-2.147,0.121,-0.085,274.475,127.014,93.689
-1.932,-0.021,-0.083,285.034,127.258,102.112
-1.844,-0.168,-0.058,290.222,121.887,108.398
-1.739,-0.300,-0.058,289.734,117.554,107.422
-1.514,-0.432,-0.019,283.813,117.859,99.548
-1.338,-0.501,-0.013,272.217,119.995,89.844
-1.238,-0.523,0.011,259.705,125.366,77.698
-1.137,-0.548,0.022,248.413,135.681,63.232
-0.958,-0.504,0.063,240.234,152.039,45.959
-0.621,-0.526,0.115,233.826,170.410,27.832
-0.179,-0.582,0.168,227.600,184.631,15.076
0.162,-0.655,0.261,220.032,188.293,11.108
0.383,-0.685,0.391,209.229,185.303,10.437
0.579,-0.691,0.508,198.730,187.622,6.592
0.817,-0.665,0.583,190.857,196.777,-7.080
1.166,-0.719,0.608,187.073,210.083,-34.607
1.494,-0.809,0.655,183.716,220.459,-69.763
1.725,-0.887,0.699,177.124,227.295,-103.516
1.970,-0.939,0.727,162.781,231.506,-130.615
2.152,-0.902,0.789,137.939,231.018,-150.330
2.317,-0.802,0.848,102.966,224.548,-163.940
2.486,-0.660,0.917,61.646,210.144,-169.067
2.539,-0.462,1.005,19.348,184.265,-161.499
2.417,-0.119,1.159,-19.043,151.489,-146.057
2.251,0.206,1.305,-48.950,118.469,-128.479
2.125,0.407,1.286,-67.444,85.510,-107.178
1.965,0.465,1.135,-77.209,46.204,-79.346
1.667,0.419,0.967,-81.299,-0.061,-40.222
1.345,0.293,0.836,-80.078,-43.152,6.287
1.088,0.089,0.752,-73.486,-73.608,50.293
0.935,-0.131,0.726,-61.890,-87.219,80.933
0.951,-0.326,0.723,-46.936,-87.708,93.506
1.073,-0.461,0.729,-31.372,-83.496,91.431
1.211,-0.537,0.717,-18.555,-82.397,81.970
1.308,-0.591,0.715,-11.536,-86.975,72.937
1.403,-0.674,0.663,-12.329,-97.473,70.496
1.402,-0.740,0.610,-21.667,-114.685,76.294
1.257,-0.739,0.609,-38.635,-133.850,83.679
1.134,-0.705,0.617,-59.692,-146.362,85.693
0.995,-0.652,0.611,-82.336,-149.536,81.787
0.887,-0.584,0.608,-103.088,-145.874,76.355
0.822,-0.530,0.631,-121.887,-139.160,70.618
0.799,-0.490,0.644,-138.977,-133.362,66.406
0.791,-0.432,0.664,-155.945,-130.676,64.270
0.795,-0.377,0.644,-172.485,-131.042,62.073
0.651,-0.352,0.565,-189.331,-133.545,58.044
0.370,-0.289,0.475,-206.848,-136.230,52.246
0.126,-0.175,0.395,-222.351,-134.644,45.288
-0.101,-0.062,0.373,-233.032,-126.160,37.598
-0.248,-0.015,0.358,-237.915,-112.183,29.846
-0.304,-0.047,0.367,-239.197,-97.839,23.987
-0.322,-0.059,0.390,-241.272,-87.646,18.738
-0.405,-0.092,0.410,-244.385,-81.482,11.597
-0.517,-0.125,0.411,-248.535,-76.721,1.709
