aX,aY,aZ,gX,gY,gZ
-1.184,0.361,-1.189,-226.562,-55.725,-51.208
-1.254,0.546,-1.322,-231.384,-47.363,-39.246
-1.468,0.539,-1.393,-231.689,-40.466,-35.522
-1.639,0.233,-1.492,-231.384,-24.658,-29.114
-1.617,0.451,-1.722,-242.065,-1.038,-14.893
-1.772,0.187,-1.752,-258.057,20.630,-9.827
-1.620,0.532,-1.935,-277.405,46.753,-1.221
-1.647,0.530,-2.007,-297.180,68.909,4.517
-1.640,0.647,-2.157,-309.509,82.336,0.427
-1.677,0.976,-2.306,-316.101,98.694,3.662
-1.856,0.788,-2.368,-313.171,115.662,4.639
-1.703,1.182,-2.647,-308.472,143.921,13.123
-1.815,0.986,-2.648,-300.781,167.297,13.184
-1.504,1.530,-2.968,-291.443,196.228,15.808
-1.572,1.478,-2.996,-276.306,217.773,14.343
-1.263,2.001,-3.225,-256.287,241.150,16.968
-1.340,1.767,-3.300,-236.877,262.573,21.179
-1.083,1.992,-3.631,-219.055,287.537,29.358
-1.041,1.941,-3.586,-209.351,311.340,38.574
-0.812,1.877,-3.695,-195.068,333.252,44.495
-0.588,2.005,-3.667,-180.420,353.516,54.260
-0.362,1.956,-3.633,-161.133,366.760,58.655
-0.222,1.898,-3.473,-137.268,376.892,62.256
-0.039,1.788,-3.301,-111.877,386.719,68.787
0.165,1.621,-3.118,-85.327,393.066,75.195
0.350,1.420,-2.892,-62.500,394.226,82.397
0.479,1.218,-2.659,-46.753,389.038,89.355
0.553,1.063,-2.407,-38.696,379.761,96.497
0.640,0.938,-2.132,-35.767,368.774,102.417
0.706,0.847,-1.832,-35.400,355.774,105.408
0.833,0.790,-1.527,-34.973,340.210,106.262
0.966,0.720,-1.214,-31.860,320.312,106.323
1.050,0.620,-0.925,-26.428,294.128,104.736
1.079,0.504,-0.661,-20.264,263.733,101.685
1.060,0.367,-0.446,-15.137,232.361,99.792
1.000,0.181,-0.279,-12.634,201.721,99.243
0.928,-0.004,-0.161,-15.259,174.255,95.947
0.857,-0.153,-0.083,-22.888,149.780,88.135
0.758,-0.198,-0.020,-33.508,127.502,77.881
0.643,-0.137,0.047,-42.358,107.361,65.674
0.531,-0.022,0.102,-44.861,89.294,51.086
0.427,0.100,0.131,-38.574,73.181,36.804
0.304,0.172,0.142,-23.987,58.594,23.682
0.190,0.172,0.129,-4.944,45.593,12.207
0.082,0.118,0.109,14.587,34.302,2.014
-0.011,0.032,0.066,31.799,24.048,-7.141
-0.114,-0.049,0.031,43.274,13.733,-16.724
-0.214,-0.114,0.009,48.157,4.333,-24.658
-0.279,-0.141,-0.020,47.119,-3.357,-30.518
-0.328,-0.140,-0.049,42.175,-11.047,-35.400
-0.397,-0.124,-0.080,35.461,-20.203,-39.917
-0.490,-0.103,-0.114,28.198,-29.907,-44.312
-0.481,-0.060,-0.184,22.949,-39.673,-48.889
-0.571,-0.016,-0.239,18.372,-48.767,-51.758
-0.623,-0.019,-0.314,15.564,-57.922,-53.101
-0.688,-0.031,-0.405,12.268,-64.819,-55.115
-0.734,0.022,-0.474,8.606,-69.275,-57.800
-0.761,0.082,-0.520,6.653,-71.716,-60.303
-0.762,0.152,-0.552,8.484,-71.960,-63.354
-0.738,0.217,-0.568,14.038,-71.106,-66.956
-0.688,0.274,-0.578,22.827,-69.946,-71.411
-0.618,0.311,-0.591,33.752,-69.519,-76.111
-0.605,0.294,-0.613,45.837,-71.716,-80.811
-0.624,0.220,-0.636,56.152,-76.172,-84.595
-0.654,0.108,-0.666,61.279,-81.543,-87.158
-0.690,-0.004,-0.699,59.143,-87.036,-88.745
-0.724,-0.060,-0.709,49.927,-91.919,-90.515
-0.733,-0.050,-0.714,37.415,-94.727,-93.811
-0.707,0.024,-0.706,25.146,-96.497,-97.900
-0.649,0.119,-0.705,16.968,-98.083,-101.929
-0.607,0.267,-0.684,14.404,-101.013,-105.835
-0.568,0.442,-0.676,19.226,-104.675,-109.619
-0.557,0.600,-0.669,32.227,-108.398,-112.366
-0.563,0.712,-0.669,52.490,-111.572,-113.831
-0.583,0.756,-0.681,77.332,-113.220,-115.784
-0.596,0.761,-0.702,102.173,-113.586,-118.286
-0.620,0.711,-0.731,123.962,-112.793,-121.338
-0.659,0.612,-0.756,140.747,-111.023,-124.207
-0.676,0.510,-0.783,149.963,-107.910,-125.610
-0.665,0.451,-0.813,152.039,-104.187,-125.854
-0.662,0.435,-0.821,149.292,-101.318,-127.014
-0.657,0.494,-0.804,144.043,-99.609,-130.310
-0.654,0.645,-0.759,139.404,-98.267,-136.108
-0.690,0.821,-0.708,138.428,-97.839,-141.663
-0.735,0.975,-0.665,142.761,-97.229,-143.311
-0.778,1.121,-0.614,153.076,-95.703,-140.442
-0.807,1.156,-0.605,168.762,-92.957,-135.864
-0.833,1.175,-0.574,187.073,-89.722,-131.409
-0.854,1.109,-0.581,204.468,-84.473,-126.770
-0.833,1.034,-0.604,219.116,-76.965,-121.033
-0.793,0.965,-0.635,228.638,-68.787,-115.295
-0.782,0.877,-0.636,232.544,-61.096,-111.328
-0.777,0.809,-0.612,230.225,-53.223,-108.215
-0.761,0.778,-0.558,222.595,-45.105,-105.652
-0.730,0.772,-0.483,211.487,-38.025,-102.478
-0.705,0.812,-0.416,198.547,-32.471,-98.877
-0.689,0.875,-0.328,187.439,-30.212,-95.520
-0.682,0.948,-0.252,180.481,-30.334,-92.651
-0.675,1.015,-0.198,178.650,-31.677,-90.393
-0.677,1.071,-0.159,182.068,-33.752,-88.379
-0.697,1.096,-0.134,188.904,-35.583,-86.060
-0.695,1.082,-0.119,197.815,-35.706,-81.299
-0.681,1.064,-0.117,206.055,-34.241,-73.975
-0.660,1.065,-0.121,212.830,-32.288,-65.063
-0.653,1.054,-0.114,218.506,-30.212,-56.580
-0.647,1.015,-0.099,222.778,-27.893,-51.514
-0.643,0.970,-0.078,224.792,-25.574,-49.500
-0.670,0.899,-0.042,224.976,-23.437,-48.767
-0.676,0.840,-0.006,223.022,-20.325,-47.668
-0.642,0.777,0.023,218.506,-16.602,-46.692
-0.598,0.761,0.076,211.426,-14.221,-45.227
-0.543,0.782,0.104,203.491,-14.099,-42.969
-0.571,0.792,0.172,197.205,-16.602,-39.917
-0.583,0.850,0.190,193.909,-18.555,-36.377
-0.614,0.865,0.235,193.665,-19.165,-34.973
-0.622,0.865,0.255,195.679,-16.846,-33.997
-0.610,0.844,0.265,198.242,-13.062,-32.043
-0.564,0.863,0.284,200.012,-8.850,-28.198
-0.551,0.844,0.311,200.989,-6.104,-23.621

-0.919,0.170,-1.596,-256.592,-13.000,-101.196
-1.051,0.036,-1.709,-273.010,3.723,-94.666
-1.143,0.003,-1.896,-301.086,20.813,-84.290
-1.184,0.216,-2.086,-338.074,34.302,-75.012
-1.206,0.715,-2.382,-370.911,40.833,-68.848
-1.484,1.071,-2.582,-390.686,38.025,-64.941
-1.818,1.326,-2.820,-397.522,39.612,-55.847
-2.038,1.493,-3.077,-397.278,56.213,-43.091
-2.352,1.394,-3.198,-395.813,85.693,-33.020
-2.195,1.547,-3.463,-397.156,131.836,-20.935
-1.993,1.531,-3.632,-399.597,178.528,-13.428
-1.765,1.632,-3.860,-401.794,216.125,-11.108
-1.564,1.869,-3.910,-398.987,249.817,-5.676
-1.463,2.028,-3.929,-382.812,275.757,-6.958
-1.134,2.113,-3.987,-347.900,305.176,-7.629
-1.033,1.946,-3.920,-301.453,325.256,-12.939
-0.599,1.962,-4.000,-255.859,350.647,-14.404
-0.488,1.650,-4.000,-217.773,367.798,-12.085
-0.274,1.376,-4.000,-194.153,385.864,-8.728
-0.169,1.250,-3.902,-183.838,403.992,-6.775
0.203,1.412,-3.864,-177.429,421.265,-5.249
0.350,1.441,-3.643,-163.513,425.598,-5.676
0.450,1.455,-3.399,-140.442,424.866,-5.249
0.552,1.453,-3.145,-110.596,420.044,-4.944
0.665,1.386,-2.895,-78.613,413.696,-2.136
0.825,1.211,-2.687,-48.279,403.870,5.066
0.873,1.044,-2.376,-25.696,389.038,12.695
0.963,0.892,-2.115,-12.024,371.155,19.592
1.035,0.809,-1.851,-6.836,349.304,26.428
1.098,0.772,-1.613,-6.042,323.486,33.936
1.101,0.691,-1.400,-5.676,293.762,43.030
1.051,0.598,-1.190,-6.287,264.526,51.514
1.010,0.496,-1.005,-7.812,239.380,56.519
0.979,0.396,-0.833,-9.277,216.309,57.678
0.929,0.321,-0.673,-9.460,195.007,55.786
0.849,0.257,-0.534,-7.751,174.927,52.124
0.765,0.224,-0.407,-4.578,156.372,47.241
0.665,0.185,-0.292,1.160,139.160,39.978
0.526,0.125,-0.199,9.155,123.108,31.799
0.384,0.043,-0.127,17.517,108.582,24.048
0.253,-0.038,-0.063,24.353,95.886,16.541
0.123,-0.126,-0.019,28.198,84.167,8.667
0.015,-0.182,-0.001,28.137,72.266,2.075
-0.084,-0.201,0.010,25.269,58.594,-2.869
-0.198,-0.201,-0.002,20.081,43.396,-7.263
-0.329,-0.158,-0.018,13.855,29.114,-12.024
-0.445,-0.111,-0.043,8.362,18.188,-16.052
-0.542,-0.059,-0.067,4.639,11.047,-18.005
-0.609,-0.004,-0.084,3.601,6.836,-19.348
-0.651,0.048,-0.102,5.859,3.967,-21.912
-0.712,0.099,-0.116,11.597,0.305,-25.513
-0.727,0.087,-0.164,19.958,-4.517,-29.297
-0.790,0.058,-0.214,28.687,-10.010,-30.334
-0.832,-0.015,-0.261,33.691,-14.038,-30.518
-0.820,-0.075,-0.315,34.546,-16.479,-30.518
-0.819,-0.118,-0.347,30.457,-18.494,-31.067
-0.819,-0.131,-0.372,23.132,-21.118,-32.288
-0.816,-0.100,-0.393,14.221,-23.499,-33.691
-0.809,-0.031,-0.398,6.042,-25.818,-35.828
-0.792,0.066,-0.410,1.282,-28.381,-38.147
-0.783,0.144,-0.423,0.854,-30.823,-39.978
-0.770,0.207,-0.436,4.211,-32.410,-40.955
-0.741,0.250,-0.449,10.376,-33.142,-41.626
-0.702,0.270,-0.459,18.311,-33.630,-42.664
-0.658,0.296,-0.468,26.855,-34.729,-44.922
