aX,aY,aZ,gX,gY,gZ
-1.017,0.789,0.817,37.170,14.771,44.739
-1.135,0.815,0.841,57.007,14.282,56.763
-1.283,0.848,0.817,87.524,10.864,73.669
-1.478,0.893,0.738,130.920,6.897,93.811
-1.745,1.009,0.593,187.256,3.601,116.577
-2.014,1.178,0.469,245.850,7.324,140.930
-2.183,1.338,0.453,292.419,25.269,163.391
-2.261,1.364,0.510,319.275,56.030,186.035
-2.242,1.286,0.724,327.759,89.417,208.984
-2.084,1.051,1.070,333.374,114.502,230.713
-1.936,0.796,1.401,346.313,121.826,250.183
-1.962,0.576,1.639,362.915,109.253,264.465
-2.138,0.436,1.628,368.774,74.890,265.625
-2.258,0.466,1.343,358.032,18.127,251.953
-2.370,0.561,0.911,346.069,-40.344,240.662
-2.521,0.628,0.425,352.844,-85.327,244.873
-2.672,0.571,-0.185,378.052,-117.676,260.498
-2.640,0.512,-0.881,402.466,-140.869,266.113
-2.478,0.468,-1.604,417.786,-144.775,256.531
-2.343,0.370,-2.206,428.955,-119.385,245.850
-2.156,0.266,-2.536,437.683,-70.984,237.610
-1.802,0.196,-2.472,444.214,-15.686,234.253
-1.335,-0.053,-2.067,443.726,34.058,246.887
-0.698,-0.364,-1.534,412.109,62.988,264.954
0.229,-0.645,-1.198,342.102,59.570,283.569
1.812,-1.142,-1.164,263.855,38.757,328.369
3.702,-1.596,-1.220,179.382,44.861,389.893
4.000,-2.161,-1.112,80.078,110.657,408.325
4.000,-3.146,-0.375,-34.790,214.294,349.182
4.000,-3.385,0.671,-152.283,325.012,137.085
4.000,-2.146,1.794,-215.576,403.320,-148.499
4.000,-0.138,2.650,-130.005,440.735,-319.214
4.000,2.040,3.086,75.195,429.016,-341.125
3.510,3.380,3.437,272.400,349.182,-265.808
2.349,3.746,3.645,339.478,237.732,-159.790
1.594,3.320,3.428,227.356,102.173,-76.233
1.610,2.490,2.570,-8.118,-78.491,-22.034
2.529,1.218,1.417,-249.756,-277.649,27.649
3.625,-0.322,-0.007,-414.124,-417.725,77.942
4.000,-1.742,-1.245,-478.394,-450.439,101.135
3.951,-2.498,-1.856,-401.978,-392.090,95.459
3.135,-2.496,-1.836,-197.327,-302.795,78.247
2.291,-2.092,-1.397,34.485,-236.389,63.232
1.640,-1.600,-0.898,178.101,-202.515,38.635
1.194,-1.154,-0.560,175.171,-187.866,0.183
1.016,-0.870,-0.381,48.767,-182.373,-45.715
0.896,-0.872,-0.401,-128.174,-170.898,-78.979
0.803,-1.117,-0.440,-284.302,-146.667,-93.140
0.603,-1.345,-0.416,-379.639,-115.173,-98.328
0.420,-1.472,-0.261,-404.297,-78.552,-110.779
0.126,-1.386,-0.078,-372.375,-45.349,-134.583
-0.147,-1.053,0.147,-303.833,-25.330,-160.889
-0.462,-0.597,0.409,-216.431,-21.301,-175.781
-0.811,-0.161,0.630,-139.771,-28.015,-166.077
-1.002,0.090,0.810,-105.957,-46.875,-136.353
-0.901,0.069,0.888,-136.230,-73.242,-107.971
-0.798,-0.032,0.842,-227.905,-92.590,-97.290
-0.772,-0.178,0.737,-344.482,-92.712,-101.196
-0.761,-0.296,0.577,-449.951,-77.271,-114.319
-0.817,-0.308,0.525,-524.902,-52.734,-130.981
-1.159,-0.227,0.583,-558.838,-20.386,-143.616
-1.397,-0.175,0.812,-566.467,-3.540,-152.283
-1.453,-0.092,1.060,-562.561,-28.870,-164.246
-1.423,-0.020,1.225,-539.856,-78.552,-181.458
-1.269,-0.037,1.184,-496.643,-137.390,-194.641
-0.978,-0.092,0.847,-439.575,-184.143,-203.369
-0.759,-0.091,0.372,-375.610,-196.533,-217.651
-0.757,0.102,0.021,-314.575,-172.852,-242.371
-0.813,0.427,-0.117,-265.442,-124.939,-271.973
