aX,aY,aZ,gX,gY,gZ
-2.494,0.288,-0.005,-120.789,75.500,27.832
-2.902,0.275,-0.022,-50.232,100.220,49.561
-3.319,0.332,0.153,34.790,133.362,77.271
-3.551,0.321,0.467,109.497,162.231,109.192
-3.614,0.195,0.849,155.518,177.551,138.733
-3.759,-0.025,1.015,170.715,175.537,159.180
-3.943,-0.290,0.951,163.208,163.330,171.265
-4.000,-0.587,0.700,153.625,152.466,178.162
-4.000,-0.909,0.371,159.424,146.912,182.251
-3.945,-1.197,0.054,183.167,144.836,178.467
-3.550,-1.371,-0.223,214.783,150.452,155.212
-2.988,-1.313,-0.310,241.028,162.231,113.342
-2.447,-0.997,-0.082,256.409,172.485,67.322
-1.752,-0.741,0.098,249.146,166.565,34.912
-0.817,-0.502,0.093,216.553,138.489,18.738
0.501,-0.644,-0.041,173.645,102.539,26.611
2.132,-1.047,-0.332,117.615,80.017,40.161
3.867,-1.363,-0.636,31.372,69.885,13.794
4.000,-1.310,-0.398,-42.175,96.252,-50.476
4.000,-0.573,0.245,-64.209,162.476,-150.513
4.000,0.620,1.118,-27.649,208.557,-251.221
4.000,2.277,1.588,51.880,191.345,-318.359
4.000,3.998,1.773,185.608,147.400,-322.876
4.000,4.000,2.037,319.397,116.394,-239.929
4.000,4.000,2.298,338.928,47.424,-107.361
3.651,4.000,2.057,215.271,-74.951,12.878
4.000,2.781,1.367,-7.812,-225.952,97.595
4.000,0.749,0.405,-230.835,-346.252,149.170
4.000,-0.972,-0.392,-347.107,-360.474,168.091
3.986,-1.833,-0.484,-289.124,-287.842,162.292
2.844,-1.877,-0.078,-99.854,-208.252,150.146
1.795,-1.567,0.284,81.482,-168.579,128.174
0.967,-1.067,0.518,147.400,-163.086,90.942
0.243,-0.623,0.562,93.262,-171.326,53.406
-0.242,-0.581,0.483,-20.935,-173.828,33.813
-0.643,-0.853,0.400,-133.789,-165.344,23.926
-1.006,-1.269,0.343,-205.505,-144.104,10.620
-1.306,-1.583,0.281,-214.478,-115.112,-13.367
-1.676,-1.611,0.179,-172.424,-86.060,-49.133
-2.143,-1.327,0.009,-113.770,-58.899,-92.102
-2.552,-0.649,-0.073,-75.195,-31.189,-141.052
-2.887,0.191,0.029,-73.975,-4.639,-184.631
-3.051,0.859,0.314,-104.675,11.719,-205.383
-3.007,1.091,0.682,-145.203,17.029,-194.519
-2.850,0.919,1.037,-174.500,18.188,-162.231
-2.603,0.538,1.396,-176.819,11.780,-130.493
-2.361,0.215,1.613,-148.437,2.869,-111.023
-2.166,0.121,1.630,-96.802,-0.916,-98.022
-1.950,0.164,1.536,-33.203,-4.517,-77.576
-1.654,0.254,1.422,19.653,-11.536,-52.612
-1.363,0.404,1.286,44.128,-20.630,-27.771
-1.150,0.507,1.204,40.161,-28.931,-7.874
-1.025,0.520,1.226,21.301,-37.231,5.554
-0.970,0.413,1.280,2.502,-47.729,14.160
-0.914,0.285,1.240,-2.808,-62.195,19.470
-0.845,0.221,1.073,5.432,-76.111,24.841
-0.731,0.148,0.878,21.179,-86.731,30.701
-0.600,0.091,0.679,32.593,-88.379,33.813
-0.518,0.073,0.548,34.668,-76.233,32.104
-0.480,0.073,0.492,25.391,-55.908,24.536
-0.489,0.104,0.503,6.775,-35.522,11.475
-0.528,0.113,0.563,-15.686,-19.531,-1.038
-0.561,0.068,0.647,-35.461,-12.451,-9.033
-0.580,0.038,0.730,-43.091,-14.099,-15.076
-0.587,0.046,0.769,-36.438,-21.973,-19.775
-0.581,0.097,0.742,-20.569,-31.860,-21.301
-0.548,0.154,0.682,-3.906,-38.025,-19.287
-0.526,0.188,0.619,7.874,-37.598,-14.832
-0.530,0.198,0.599,11.719,-31.128,-10.864
-0.542,0.182,0.630,6.165,-23.010,-10.681
-0.575,0.159,0.692,-7.385,-16.052,-13.855
-0.617,0.138,0.756,-23.621,-11.658,-19.348
-0.660,0.131,0.814,-34.546,-11.414,-24.475
-0.686,0.137,0.848,-35.583,-14.709,-27.283
