aX,aY,aZ,gX,gY,gZ
-1.869,0.238,1.064,0.732,9.338,16.296
-2.128,0.298,1.168,12.634,9.583,28.870
-2.400,0.336,1.271,29.785,11.963,45.837
-2.673,0.384,1.398,54.077,14.160,67.566
-2.811,0.353,1.532,76.538,5.615,89.294
-2.909,0.320,1.532,96.008,-14.771,110.779
-2.998,0.284,1.379,111.084,-41.565,127.686
-3.045,0.258,1.121,117.004,-65.613,137.268
-3.033,0.177,0.818,115.906,-81.726,141.235
-2.912,0.017,0.490,111.450,-88.867,140.808
-2.654,-0.092,0.156,108.521,-88.867,130.798
-2.326,-0.109,-0.169,114.441,-82.886,114.563
-1.950,-0.097,-0.409,131.592,-68.359,101.990
-1.491,-0.122,-0.538,157.532,-47.058,97.717
-1.006,-0.125,-0.444,181.885,-22.400,101.868
-0.562,-0.130,-0.255,189.819,-3.784,108.826
0.006,-0.231,-0.147,168.457,-0.793,117.676
0.652,-0.420,-0.173,123.474,-6.470,124.207
1.442,-0.556,-0.262,64.758,-11.780,123.230
2.304,-0.576,-0.376,4.883,-6.409,117.432
3.178,-0.510,-0.424,-40.405,20.874,116.760
3.988,-0.387,-0.249,-62.927,75.867,119.568
4.000,-0.246,0.331,-61.279,152.832,112.244
4.000,-0.049,1.161,-36.804,221.558,82.886
4.000,0.250,1.986,1.892,257.568,33.875
4.000,0.714,2.634,48.279,262.695,-14.465
3.852,1.353,3.162,98.572,241.699,-46.143
3.103,1.820,3.507,143.127,184.204,-47.546
2.499,1.881,3.348,159.241,87.708,-23.682
2.239,1.636,2.810,112.915,-24.231,-1.282
2.370,1.262,2.042,7.141,-123.108,4.272
2.673,0.831,1.218,-117.004,-198.120,-0.793
2.840,0.344,0.519,-211.487,-233.887,1.709
2.665,-0.149,0.040,-237.549,-220.276,15.503
2.255,-0.616,-0.059,-191.101,-178.528,32.776
1.693,-0.864,0.098,-100.952,-137.756,40.466
1.145,-0.859,0.342,-12.085,-114.685,32.043
0.680,-0.808,0.520,41.016,-109.924,10.254
0.411,-0.735,0.521,45.532,-113.037,-19.958
0.176,-0.663,0.450,14.099,-110.107,-56.885
-0.063,-0.569,0.340,-31.677,-96.863,-93.201
-0.306,-0.483,0.266,-78.186,-76.965,-120.544
-0.604,-0.412,0.198,-110.901,-53.833,-135.681
-1.012,-0.332,0.170,-118.408,-26.306,-140.381
-1.579,-0.261,0.223,-102.478,6.775,-138.428
-2.052,-0.114,0.378,-78.491,35.156,-133.179
-2.196,0.073,0.710,-56.030,49.561,-124.634
-2.265,0.183,1.044,-38.452,51.575,-109.619
-2.236,0.138,1.318,-33.264,44.067,-92.834
-2.110,-0.083,1.489,-40.466,28.992,-77.515
-1.949,-0.390,1.496,-51.819,14.954,-71.045
-1.726,-0.550,1.410,-61.279,5.188,-81.970
-1.453,-0.489,1.230,-62.622,-1.465,-102.844
-1.266,-0.249,1.064,-52.673,-0.305,-120.178
-1.112,0.040,0.953,-33.386,7.507,-123.840
-1.007,0.247,0.920,-9.521,17.395,-114.014
-0.945,0.344,0.940,9.521,26.428,-95.825
-0.914,0.283,0.974,16.907,31.677,-74.524
-0.875,0.107,1.011,8.484,33.081,-52.795
-0.860,-0.108,1.064,-11.292,32.532,-36.438
-0.854,-0.308,1.056,-36.865,28.564,-30.579
-0.840,-0.415,1.087,-55.908,20.813,-32.471
-0.808,-0.430,1.048,-58.533,7.935,-33.813
-0.768,-0.391,0.969,-46.997,-1.953,-31.433
-0.666,-0.286,0.894,-25.024,-10.498,-28.198
-0.620,-0.127,0.859,1.404,-13.306,-22.339
-0.626,-0.003,0.849,23.010,-10.620,-12.756
-0.616,-0.010,0.878,32.532,-5.737,-1.160
-0.617,-0.113,0.951,28.625,-0.183,8.728
-0.619,-0.216,1.008,14.771,2.075,9.338
-0.617,-0.270,1.031,-0.732,-0.732,1.038
-0.593,-0.255,1.017,-8.423,-7.019,-8.423
-0.572,-0.222,0.997,-5.127,-15.381,-13.794
-0.540,-0.179,0.960,5.859,-23.682,-15.076
-0.480,-0.124,0.924,18.921,-30.823,-14.465
-0.435,-0.056,0.879,29.724,-34.546,-11.902
-0.393,0.012,0.850,34.851,-33.569,-6.714
-0.389,0.034,0.849,32.593,-27.893,0.671
-0.399,-0.017,0.863,23.193,-20.142,8.545
-0.400,-0.095,0.894,8.911,-13.489,11.414
-0.406,-0.161,0.919,-5.798,-9.583,6.775
-0.422,-0.172,0.934,-15.564,-8.545,-1.953
-0.417,-0.138,0.945,-16.541,-10.559,-9.888
-0.417,-0.079,0.949,-5.371,-15.259,-13.916
-0.406,-0.030,0.925,12.756,-21.484,-12.939
-0.394,-0.010,0.877,29.297,-26.489,-8.667
-0.379,-0.010,0.831,36.682,-26.978,-4.272
-0.371,-0.024,0.808,33.630,-22.400,-2.014
-0.369,-0.066,0.805,22.705,-14.771,-1.160
-0.388,-0.100,0.823,8.057,-6.775,-2.258
-0.408,-0.120,0.833,-4.639,-1.648,-5.371
-0.413,-0.121,0.836,-11.902,0.000,-9.216
-0.403,-0.111,0.835,-12.207,-0.854,-11.719
-0.392,-0.105,0.840,-5.737,-2.441,-12.390
-0.379,-0.094,0.828,4.944,-4.211,-11.475
-0.371,-0.078,0.818,15.076,-5.371,-9.827
-0.369,-0.064,0.812,20.325,-4.761,-8.179
-0.365,-0.042,0.810,19.104,-3.052,-6.836
-0.362,-0.034,0.817,12.146,0.000,-5.737
-0.357,-0.043,0.833,2.136,4.028,-4.822
-0.367,-0.051,0.872,-6.775,8.179,-5.005
-0.380,-0.075,0.914,-13.245,10.376,-5.737
-0.401,-0.100,0.955,-14.282,9.277,-6.470
-0.410,-0.124,0.976,-8.728,4.517,-6.958
-0.413,-0.127,0.962,1.099,-2.136,-7.202
-0.409,-0.114,0.931,12.390,-8.484,-7.080
-0.402,-0.096,0.884,19.287,-13.245,-6.897
