aX,aY,aZ,gX,gY,gZ
-1.972,0.765,-1.626,-384.521,-11.230,-159.607
-2.348,1.141,-2.112,-433.838,-3.296,-162.476
-2.699,1.454,-2.621,-466.919,10.193,-147.034
-2.979,1.634,-3.099,-434.998,37.781,-102.783
-3.039,1.740,-3.469,-333.862,85.815,-39.795
-2.988,1.971,-3.606,-228.882,151.489,14.038
-2.744,2.425,-3.377,-173.523,224.915,51.575
-2.464,2.974,-2.977,-165.100,290.344,88.379
-2.044,3.287,-2.736,-192.566,342.407,128.113
-1.636,3.525,-2.528,-241.516,382.568,163.574
-1.119,3.556,-2.454,-286.255,414.978,191.650
-0.662,3.487,-2.387,-308.472,455.261,210.571
-0.369,3.479,-2.272,-302.673,498.169,227.661
-0.259,3.442,-2.169,-269.592,528.320,248.718
-0.220,3.214,-2.063,-223.083,534.119,277.527
-0.244,3.030,-2.029,-185.669,520.935,297.913
-0.181,2.802,-1.946,-173.401,494.202,302.551
0.002,2.523,-1.793,-174.011,456.543,295.959
0.233,2.481,-1.842,-169.189,412.781,276.428
0.628,2.489,-2.005,-153.320,366.516,254.639
0.995,2.578,-2.063,-129.639,331.360,238.708
1.379,2.642,-2.028,-100.281,306.396,231.262
1.658,2.571,-1.897,-75.989,282.532,236.328
1.824,2.363,-1.704,-67.749,259.033,243.958
1.975,2.053,-1.547,-76.416,229.797,244.995
2.195,1.647,-1.429,-89.966,196.472,242.432
2.435,1.171,-1.203,-103.516,167.053,233.093
2.610,0.650,-0.797,-109.924,139.832,212.524
2.689,0.311,-0.374,-98.022,106.812,186.523
2.721,0.154,-0.129,-70.129,72.632,167.908
2.774,0.028,-0.122,-44.006,62.256,153.992
2.600,-0.140,0.061,-34.729,65.125,130.981
2.358,-0.356,0.343,-35.034,49.011,97.839
2.026,-0.476,0.562,-29.846,21.118,59.875
1.686,-0.479,0.693,-9.216,-14.465,26.184
1.353,-0.404,0.695,22.949,-54.932,-0.610
1.119,-0.225,0.573,55.420,-92.957,-24.231
0.838,-0.043,0.386,76.599,-122.131,-46.814
0.622,0.060,0.204,84.534,-142.334,-72.083
0.398,0.160,0.067,85.693,-160.339,-96.802
0.202,0.273,-0.043,86.548,-175.964,-117.615
0.036,0.357,-0.166,88.562,-192.322,-132.996
-0.104,0.450,-0.333,91.064,-209.412,-147.827
-0.190,0.601,-0.582,98.022,-223.999,-165.405
-0.290,0.790,-0.853,112.732,-234.802,-180.786
-0.372,0.937,-1.102,138.367,-238.647,-192.200
-0.478,1.047,-1.263,170.654,-231.506,-201.843
-0.581,1.188,-1.318,202.881,-215.698,-212.158
-0.668,1.411,-1.319,228.333,-198.425,-220.642
-0.751,1.681,-1.302,238.708,-183.105,-221.863
-0.875,1.865,-1.274,221.924,-172.913,-217.529
-0.965,1.963,-1.254,185.608,-170.288,-214.172
-1.012,1.980,-1.252,149.719,-170.532,-210.571
-1.055,1.892,-1.250,129.395,-168.091,-202.881
-1.090,1.734,-1.232,130.554,-163.025,-192.383
-1.081,1.533,-1.262,152.710,-158.447,-184.448
-0.982,1.405,-1.333,192.017,-150.024,-182.800
-0.812,1.507,-1.381,236.450,-131.104,-183.228
-0.770,1.719,-1.319,272.705,-100.464,-174.133
